Rule,Count
JavadocPackageCheck,12
JavadocStyleCheck,109
LineLengthCheck,102
DesignForExtensionCheck,50
MissingJavadocMethodCheck,17
WhitespaceAroundCheck,15
JavadocVariableCheck,28
JavadocMethodCheck,5
AvoidStarImportCheck,18
NewlineAtEndOfFileCheck,10
MagicNumberCheck,11
UnusedImportsCheck,10
FinalParametersCheck,78
HiddenFieldCheck,22
NeedBracesCheck,16
WhitespaceAfterCheck,35
RightCurlyCheck,2
MemberNameCheck,2
RedundantModifierCheck,1
HideUtilityClassConstructorCheck,1
LocalVariableNameCheck,1
